iter	RMSE
0	4138328.743
1	3985647.074
2	3858057.404
3	3744551.774
4	3653063.461
5	3569019.049
6	3496553.192
7	3437238.894
8	3384273.716
9	3339118.463
10	3298499.226
11	3263947.209
12	3229421.723
13	3207516.828
14	3178447.895
15	3153394.273
16	3136921.956
17	3117603.256
18	3102834.588
19	3088371.088
20	3075458.807
21	3062352.533
22	3050212.524
23	3037259.52
24	3023957.847
25	3013168.588
26	3005290.074
27	2995362.971
28	2983986.489
29	2977084.823
30	2966345.982
31	2957984.754
32	2950802.457
33	2944658.583
34	2934366.734
35	2929077.978
36	2917283.831
37	2911439.225
38	2907101.298
39	2900145.097
40	2888521.962
41	2883385.951
42	2874938.402
43	2872080.373
44	2868137.479
45	2864942.841
46	2860602.624
47	2856365.89
48	2850101.538
49	2847451.139
50	2843308.526
51	2837303.844
52	2833929.937
53	2831150.705
54	2826306.836
55	2818213.214
56	2817474.265
57	2813558.221
58	2808937.465
59	2806389.621
60	2804311.144
61	2800118.566
62	2796662.289
63	2789949.622
64	2782642.948
65	2781125.8
66	2778166.712
67	2773916.176
68	2769807.917
69	2768145.859
70	2763449.897
71	2757648.195
72	2755216.8
73	2752187.772
74	2749441.838
75	2746631.946
76	2742700.994
77	2737539.905
78	2735298.475
79	2732178.464
80	2728948.941
81	2721598.884
82	2716305.968
83	2712815.057
84	2710918.435
85	2709038.416
86	2706594.997
87	2703372.864
88	2700450.649
89	2698271.823
90	2696483.071
91	2692842.661
92	2689656.84
93	2686057.254
94	2684260.576
95	2678578.99
96	2675795.541
97	2672527.564
98	2668967.764
99	2667436.494
100	2664464.188
101	2662157.346
102	2658225.054
103	2656776.516
104	2652537.217
105	2648091.006
106	2644967.767
107	2642026.86
108	2639662.411
109	2635856.628
110	2632994.507
111	2631188.138
112	2629369.489
113	2628080.026
114	2622109.133
115	2619440.903
116	2615992.668
117	2611320.583
118	2610001.611
119	2606482.89
120	2603370.012
121	2602127.418
122	2600393.996
123	2599203.608
124	2597994.312
125	2593987.69
126	2592652.029
127	2590425.582
128	2587465.89
129	2584785.693
130	2581970.814
131	2580566.566
132	2579503.63
133	2577445.246
134	2575391.354
135	2574223.457
136	2571403.945
137	2568993.627
138	2564478.78
139	2562952.364
140	2561128.016
141	2560486.499
142	2558758.788
143	2556779.813
144	2553676.013
145	2552823.791
146	2551651.084
147	2549179.36
148	2547918.46
149	2545410.819
150	2544059.032
151	2542618.926
152	2540153.688
153	2538221.352
154	2536610.136
155	2534247.586
156	2532281.121
157	2530363.673
158	2528074.07
159	2526248.767
160	2523891.549
161	2521572.591
162	2519805.196
163	2517973.899
164	2516124.82
165	2514703.461
166	2513618.734
167	2510852.5
168	2508929.9
169	2508174.313
170	2505824.982
171	2505045.168
172	2502631.001
173	2501230.585
174	2499142.347
175	2497658.047
176	2496648.454
177	2495165.55
178	2492273.321
179	2490849.198
180	2489577.572
181	2486887.915
182	2485015.475
183	2483424.364
184	2481758.813
185	2479616.855
186	2478182.907
187	2477116.879
188	2474885.668
189	2472785.178
190	2469612.007
191	2468394.063
192	2465483.834
193	2463491.646
194	2460993.857
195	2458983.772
196	2457319.316
197	2454471.366
198	2453183.461
199	2452296.668
200	2451228.879
201	2449497.321
202	2448833.015
203	2447059.829
204	2445239.165
205	2444073.046
206	2442838.25
207	2440385.627
208	2438598.521
209	2437473.912
210	2436599.33
211	2435776.823
212	2434266.873
213	2431606.928
214	2430395.126
215	2428322.667
216	2426468.757
217	2425031.589
218	2424350.858
219	2423030.931
220	2422128.351
221	2420894.353
222	2419484.877
223	2417989.001
224	2415912.086
225	2414859.153
226	2413262.16
227	2411705.104
228	2408837.706
229	2407442.301
230	2406633.594
231	2405564.772
232	2403865.84
233	2401455.036
234	2400512.617
235	2399405.972
236	2397861.374
237	2396007.045
238	2395278.23
239	2394238.07
240	2393184.968
241	2392324.829
242	2390945.271
243	2389425.755
244	2387920.316
245	2385660.859
246	2383389.975
247	2382604.346
248	2381289.522
249	2380940.574
250	2378691.765
251	2377270.807
252	2376633.959
253	2375552.002
254	2373722.744
255	2372523.169
256	2371380.92
257	2369853.347
258	2369186.604
259	2367929.265
260	2366720.925
261	2365468.593
262	2363798.716
263	2362445.932
264	2361607.821
265	2360891.882
266	2359774.086
267	2358808.069
268	2357687.092
269	2355384.357
270	2354135.272
271	2353145.445
272	2350647.656
273	2349229.555
274	2347175.429
275	2346065.186
276	2344672.629
277	2342960.577
278	2341946.882
279	2340308.117
280	2339400.772
281	2338594.713
282	2336750.545
283	2335022.468
284	2334348.485
285	2332535.091
286	2331122.862
287	2330253.628
288	2329364.206
289	2327711.15
290	2326109.802
291	2324902.967
292	2324136.521
293	2323286.323
294	2322708.421
295	2321338.005
296	2320300.867
297	2319617.898
298	2318791.7
299	2317880.892
