iter	RMSE
0	6293629.814
1	6132639.797
2	5982921.956
3	5831431.253
4	5698241.379
5	5562986.237
6	5443376.918
7	5325991.953
8	5221136.818
9	5117246.8
10	5030919.871
11	4944064.946
12	4864361.605
13	4784650.459
14	4712699.7
15	4644083.039
16	4578982.297
17	4513873.621
18	4454379.273
19	4404253.634
20	4350116.63
21	4299060.456
22	4256442.976
23	4211670.401
24	4164828.002
25	4127297.391
26	4088490.336
27	4052304.354
28	4022053.264
29	3994022.27
30	3963571.089
31	3941122.948
32	3916467.716
33	3892574.991
34	3868806.462
35	3854195.036
36	3835573.661
37	3814030.104
38	3797123.996
39	3779925.984
40	3763199.264
41	3750180.177
42	3735588.662
43	3719926.102
44	3705249.767
45	3692901.855
46	3677642.29
47	3661772.796
48	3645189.082
49	3631773.346
50	3622787.046
51	3609588.163
52	3598243.106
53	3587020.057
54	3576795.743
55	3562398.645
56	3551566.254
57	3544226.228
58	3537131.384
59	3529728.085
60	3522742.304
61	3515617.43
62	3506387.926
63	3499224.162
64	3495916.46
65	3489147.192
66	3479758.265
67	3474080.747
68	3470546.442
69	3465521.107
70	3458965.795
71	3452743.556
72	3447658.223
73	3445710.028
74	3439734.89
75	3435202.877
76	3426767.891
77	3422025.828
78	3416952.338
79	3412259.856
80	3409398.32
81	3405247.942
82	3399493.239
83	3390461.203
84	3385320.486
85	3379097.329
86	3375575.984
87	3372674.011
88	3369090.634
89	3366675.688
90	3359351.316
91	3356344.965
92	3353560.842
93	3349186.935
94	3341307.148
95	3340060.485
96	3337003.428
97	3336354.583
98	3334380.885
99	3330636.665
100	3326544.496
101	3324549.643
102	3323288.792
103	3322514.852
104	3321410.57
105	3316776.335
106	3315276.947
107	3312826.814
108	3310886.52
109	3308379.135
110	3301800.47
111	3301031.162
112	3295483.964
113	3295336.009
114	3294482.051
115	3292067.896
116	3287925.219
117	3285707.765
118	3284796.915
119	3281620.444
120	3280954.683
121	3277981.98
122	3274344.505
123	3273564.34
124	3272523.621
125	3271722.093
126	3271240.987
127	3270821.673
128	3269394.123
129	3267800.048
130	3266976.243
131	3266218.751
132	3265732.105
133	3264554.206
134	3264396.175
135	3264070.624
136	3263043.287
137	3262373.262
138	3261657.795
139	3261379.489
140	3260695.069
141	3260133.532
142	3259041.921
143	3254417.118
144	3253676.007
145	3251785.76
146	3251229.652
147	3250667.271
148	3250527.888
149	3250295.835
150	3242979.939
151	3241946.077
152	3240892.346
153	3240064.4
154	3235182.833
155	3234661.117
156	3234421.716
157	3233594.821
158	3233469.192
159	3232944.173
160	3232757.681
161	3232102.404
162	3231639.776
163	3231219.306
164	3231141.866
165	3230059.426
166	3229861.29
167	3229432.936
168	3228986.03
169	3228751.471
170	3228369.539
171	3227992.665
172	3227639.516
173	3227433.733
174	3227373.432
175	3226250.629
176	3226207.381
177	3221222.981
178	3214083.441
179	3211085.228
180	3211027.665
181	3209930.743
182	3209894.333
183	3209691.904
184	3209348.773
185	3209062.722
186	3208762.846
187	3208730.434
188	3208422.344
189	3207774.134
190	3207729.032
191	3207081.484
192	3206802.135
193	3206172.546
194	3205900.826
195	3205754.518
196	3205733.318
197	3205684.333
198	3204957.496
199	3204720.697
200	3204539.792
201	3202326.496
202	3202188.385
203	3201532.802
204	3201413.313
205	3201306.203
206	3201191.048
207	3197764.896
208	3197532.716
209	3196359.484
210	3196272.984
211	3191648.37
212	3191550.289
213	3191044.188
214	3190980.779
215	3190500.085
216	3190034.167
217	3189218.203
218	3188804.411
219	3188234.41
220	3183841.826
221	3183413.102
222	3178736.251
223	3177677.924
224	3176607.25
225	3170084.013
226	3170006.379
227	3169849.156
228	3169679.743
229	3169586.83
230	3168214.746
231	3167863.384
232	3167838.842
233	3167765.704
234	3167541.728
235	3167333.179
236	3167201.833
237	3167167.533
238	3166727.122
239	3166666.803
240	3165236.197
241	3165215.051
