iter	Passed	Remaining
0	6	6474
1	12	6069
2	17	5916
3	23	5871
4	29	5805
5	35	5836
6	40	5793
7	46	5754
8	51	5715
9	57	5725
10	63	5704
11	69	5692
12	74	5662
13	80	5642
14	85	5635
15	91	5616
16	97	5618
17	103	5628
18	109	5631
19	115	5651
20	122	5703
21	127	5687
22	133	5684
23	139	5676
24	145	5673
25	151	5690
26	158	5723
27	165	5756
28	171	5741
29	177	5737
30	183	5721
31	188	5706
32	195	5717
33	200	5705
34	206	5704
35	212	5696
36	219	5720
37	225	5710
38	231	5697
39	237	5689
40	243	5690
41	249	5682
42	256	5714
43	263	5721
44	270	5737
45	280	5827
46	286	5815
47	292	5798
48	298	5785
49	303	5770
50	309	5759
51	315	5749
52	323	5775
53	330	5786
54	336	5774
55	341	5758
56	347	5745
57	352	5731
58	358	5721
59	365	5718
60	370	5704
61	377	5709
62	382	5696
63	388	5683
64	395	5686
65	403	5710
66	409	5698
67	416	5703
68	422	5694
69	427	5683
70	433	5675
71	439	5669
72	449	5708
73	455	5702
74	461	5692
75	467	5681
76	472	5668
77	478	5656
78	484	5643
79	489	5629
80	495	5618
81	500	5605
82	506	5595
83	512	5591
84	518	5578
85	525	5583
86	531	5573
87	536	5562
88	542	5552
89	548	5542
90	553	5533
91	559	5524
92	565	5518
93	571	5507
94	577	5497
95	582	5486
96	588	5477
97	594	5467
98	599	5455
99	605	5445
100	610	5435
101	616	5428
102	622	5425
103	629	5419
104	634	5409
105	640	5403
106	646	5392
107	652	5391
108	659	5389
109	666	5389
110	672	5383
111	679	5384
112	688	5406
113	695	5401
114	700	5391
115	706	5382
116	712	5373
117	717	5363
118	722	5352
119	728	5341
120	733	5331
121	739	5322
122	745	5316
123	749	5296
124	754	5283
125	760	5276
126	766	5268
127	771	5258
128	777	5249
129	783	5241
130	788	5232
131	794	5223
132	800	5218
133	805	5208
134	812	5204
135	817	5194
136	823	5187
137	829	5180
138	835	5172
139	841	5172
140	847	5163
141	855	5169
142	861	5163
143	869	5171
144	877	5172
145	883	5165
146	888	5155
147	893	5146
148	899	5138
149	905	5130
150	910	5121
151	916	5113
152	923	5109
153	929	5105
154	935	5098
155	940	5086
156	945	5078
157	951	5071
158	957	5062
159	962	5052
160	968	5044
161	973	5037
162	979	5028
163	984	5016
164	988	5003
165	994	4996
166	999	4987
167	1004	4975
168	1010	4968
169	1015	4959
170	1020	4948
171	1026	4941
172	1031	4929
173	1036	4920
174	1041	4910
175	1047	4903
176	1054	4901
177	1059	4893
178	1065	4887
179	1071	4881
180	1078	4881
181	1084	4874
182	1089	4863
183	1095	4857
184	1101	4851
185	1105	4837
186	1110	4829
187	1115	4816
188	1120	4808
189	1126	4800
190	1132	4794
191	1137	4788
192	1143	4780
193	1148	4773
194	1154	4766
195	1160	4761
196	1166	4756
197	1172	4747
198	1177	4740
199	1182	4731
200	1188	4724
201	1194	4718
202	1200	4712
203	1205	4705
204	1211	4698
205	1217	4690
206	1222	4684
207	1228	4677
208	1233	4670
209	1239	4662
210	1245	4656
211	1251	4651
212	1258	4650
213	1264	4645
214	1270	4639
215	1276	4634
216	1282	4627
217	1288	4621
218	1297	4627
219	1303	4623
220	1309	4616
221	1315	4611
222	1321	4604
223	1327	4598
224	1333	4593
225	1339	4588
226	1345	4582
227	1351	4575
228	1356	4568
229	1362	4560
230	1367	4553
231	1373	4546
232	1378	4536
233	1383	4529
234	1389	4522
235	1395	4516
236	1400	4509
237	1406	4502
238	1411	4495
239	1417	4488
240	1422	4481
241	1429	4477
242	1435	4471
243	1441	4467
244	1448	4463
245	1453	4456
246	1460	4451
247	1466	4445
248	1473	4444
249	1478	4435
250	1484	4429
251	1489	4422
252	1496	4417
253	1502	4413
254	1508	4407
255	1514	4402
256	1520	4396
257	1526	4390
258	1531	4382
259	1538	4378
260	1544	4371
261	1549	4365
262	1555	4360
263	1561	4353
264	1566	4346
265	1572	4339
266	1578	4332
267	1583	4325
268	1590	4322
269	1596	4317
270	1602	4311
271	1608	4304
272	1613	4297
273	1619	4291
274	1625	4284
275	1630	4277
276	1636	4270
277	1641	4264
278	1647	4258
279	1653	4251
280	1659	4245
281	1664	4239
282	1670	4232
283	1676	4225
284	1681	4217
285	1687	4213
286	1693	4206
287	1699	4200
288	1704	4194
289	1710	4187
290	1716	4182
291	1723	4178
292	1729	4172
293	1734	4165
294	1740	4158
295	1745	4151
296	1751	4145
297	1757	4139
298	1763	4133
299	1769	4129
300	1775	4123
301	1781	4116
302	1787	4110
303	1793	4105
304	1798	4098
305	1804	4093
306	1810	4086
307	1817	4084
308	1824	4079
309	1830	4074
310	1836	4068
311	1841	4061
312	1848	4056
313	1853	4049
314	1859	4043
315	1865	4037
316	1870	4030
